Age, 2014 (Estimated) ,2017, 2018 (Estimated) , 2019 (Estimated) 
0," 436,868 "," 367,077 "," 345,555 "," 323,361 "
1," 463,546 "," 418,017 "," 383,299 "," 343,929 "
2," 471,711 "," 439,985 "," 428,164 "," 382,625 "
3," 480,054 "," 435,934 "," 441,520 "," 427,670 "
4," 442,837 "," 441,946 "," 433,474 "," 440,956 "
5," 448,579 "," 479,301 "," 460,501 "," 432,784 "
6," 480,719 "," 471,397 "," 468,405 "," 459,838 "
7," 451,790 "," 452,411 "," 475,894 "," 467,903 "
8," 431,564 "," 437,961 "," 439,256 "," 475,489 "
9," 439,850 "," 461,960 "," 445,579 "," 438,876 "
10," 472,339 "," 472,799 "," 477,986 "," 445,127 "
11," 474,906 "," 433,812 "," 449,543 "," 477,823 "
12," 510,418 "," 427,912 "," 430,230 "," 449,768 "
13," 592,484 "," 466,571 "," 438,586 "," 430,223 "
14," 616,028 "," 475,669 "," 471,396 "," 438,255 "
15," 608,801 "," 491,112 "," 474,003 "," 470,722 "
16," 642,094 "," 561,698 "," 508,495 "," 473,523 "
17," 661,121 "," 620,343 "," 591,473 "," 509,346 "
18," 686,481 "," 607,488 "," 621,090 "," 594,278 "
19," 691,232 "," 641,499 "," 622,184 "," 624,799 "
20," 702,877 "," 671,671 "," 663,116 "," 625,375 "
21," 718,427 "," 694,248 "," 683,065 "," 666,090 "
22," 714,569 "," 707,385 "," 710,439 "," 687,133 "
23," 663,834 "," 719,175 "," 714,015 "," 715,183 "
24," 657,698 "," 725,211 "," 725,929 "," 718,275 "
25," 644,436 "," 736,945 "," 741,973 "," 730,740 "
26," 635,626 "," 698,153 "," 738,164 "," 746,716 "
27," 646,570 "," 673,106 "," 682,170 "," 741,469 "
28," 666,307 "," 655,332 "," 675,775 "," 684,470 "
29," 666,191 "," 644,221 "," 659,298 "," 677,473 "
30," 721,616 "," 650,106 "," 644,789 "," 660,684 "
31," 789,123 "," 660,085 "," 655,076 "," 646,037 "
32," 845,878 "," 668,356 "," 673,126 "," 656,240 "
33," 848,036 "," 700,537 "," 669,346 "," 674,006 "
34," 840,801 "," 768,689 "," 724,164 "," 669,981 "
35," 770,900 "," 835,094 "," 792,138 "," 724,649 "
36," 758,430 "," 835,257 "," 847,907 "," 792,388 "
37," 749,854 "," 851,779 "," 847,795 "," 848,029 "
38," 768,768 "," 807,679 "," 842,559 "," 847,876 "
39," 806,434 "," 740,872 "," 770,183 "," 842,499 "
40," 872,327 "," 763,409 "," 759,226 "," 770,150 "
41," 890,778 "," 751,762 "," 749,681 "," 759,301 "
42," 894,974 "," 788,903 "," 768,029 "," 749,834 "
43," 927,849 "," 860,326 "," 805,371 "," 768,335 "
44," 893,700 "," 872,648 "," 873,460 "," 805,771 "
45," 936,548 "," 875,529 "," 892,165 "," 873,867 "
46," 849,021 "," 932,096 "," 895,388 "," 892,565 "
47," 825,593 "," 901,715 "," 931,102 "," 895,779 "
48," 837,113 "," 912,997 "," 895,724 "," 931,314 "
49," 846,811 "," 910,620 "," 942,378 "," 895,701 "
50," 776,284 "," 833,618 "," 850,120 "," 942,111 "
51," 892,433 "," 819,726 "," 824,930 "," 849,865 "
52," 828,583 "," 842,454 "," 835,360 "," 824,390 "
53," 942,664 "," 791,128 "," 845,103 "," 834,480 "
54," 894,821 "," 835,625 "," 768,029 "," 843,942 "
55," 814,984 "," 857,020 "," 889,446 "," 766,936 "
56," 775,386 "," 915,745 "," 820,638 "," 887,523 "
57," 723,418 "," 907,960 "," 939,907 "," 818,396 "
58," 686,138 "," 811,723 "," 887,560 "," 936,855 "
59," 699,090 "," 765,784 "," 802,368 "," 884,410 "
60," 561,290 "," 750,829 "," 763,702 "," 799,959 "
61," 539,540 "," 690,062 "," 714,890 "," 761,257 "
62," 533,933 "," 701,449 "," 674,744 "," 711,685 "
63," 430,977 "," 592,099 "," 689,898 "," 671,288 "
64," 475,481 "," 517,260 "," 547,594 "," 685,857 "
65," 453,569 "," 560,946 "," 526,294 "," 543,988 "
66," 451,852 "," 416,217 "," 519,782 "," 522,479 "
67," 438,974 "," 447,023 "," 415,516 "," 515,637 "
68," 308,673 "," 452,448 "," 460,713 "," 411,894 "
69," 352,661 "," 438,561 "," 436,084 "," 456,293 "
70," 339,696 "," 433,601 "," 433,817 "," 431,505 "
71," 391,476 "," 328,297 "," 420,700 "," 428,780 "
72," 389,025 "," 324,192 "," 288,404 "," 415,295 "
73," 329,100 "," 329,988 "," 334,014 "," 284,238 "
74," 314,455 "," 340,088 "," 319,352 "," 328,457 "
75," 304,260 "," 394,939 "," 367,403 "," 313,229 "
76," 273,269 "," 317,864 "," 360,692 "," 359,122 "
77," 259,394 "," 289,491 "," 299,504 "," 351,338 "
78," 240,965 "," 286,564 "," 282,790 "," 290,674 "
79," 220,510 "," 254,991 "," 269,981 "," 273,313 "
80," 189,473 "," 232,002 "," 237,267 "," 259,656 "
81," 166,053 "," 209,753 "," 220,922 "," 226,868 "
82," 147,075 "," 196,614 "," 201,169 "," 209,814 "
83," 120,817 "," 165,905 "," 179,652 "," 189,645 "
84," 109,600 "," 139,144 "," 149,360 "," 167,982 "
85," 98,046 "," 122,044 "," 126,852 "," 138,421 "
86," 80,175 "," 94,181 "," 108,471 "," 116,383 "
87," 65,256 "," 87,064 "," 85,536 "," 98,366 "
88," 51,175 "," 72,827 "," 74,803 "," 76,634 "
89," 40,703 "," 58,831 "," 63,812 "," 66,107 "
90," 32,205 "," 46,301 "," 49,392 "," 55,490 "
91," 33,815 "," 31,776 "," 37,532 "," 42,253 "
92," 22,922 "," 26,648 "," 27,182 "," 31,514 "
93," 16,048 "," 18,645 "," 19,967 "," 22,373 "
94," 11,403 "," 18,185 "," 14,384 "," 16,065 "
95," 7,801 "," 12,739 "," 15,427 "," 11,290 "
96," 5,604 "," 8,000 "," 9,406 "," 11,818 "
97," 4,041 "," 5,570 "," 5,711 "," 7,006 "
98," 2,549 "," 3,553 "," 3,913 "," 4,135 "
99," 1,650 "," 2,292 "," 2,384 "," 2,746 "
100+," 2,836 "," 3,943 "," 3,972 "," 4,111 "
Total," 50,746,659 "," 51,422,507 "," 51,606,633 "," 51,709,098 "
